QueryID	Q0	DocID	Rank	Score	RunID
test	Q0	109659	549	7.0	runtest
test	Q0	97322	550	7.0	runtest
test	Q0	79603	551	7.0	runtest
test	Q0	70311	552	7.0	runtest
test	Q0	67923	553	7.0	runtest
test	Q0	62924	554	7.0	runtest
test	Q0	60368	555	7.0	runtest
test	Q0	42691	556	7.0	runtest
test	Q0	42690	557	7.0	runtest
test	Q0	34972	558	7.0	runtest
test	Q0	32893	559	7.0	runtest
test	Q0	29716	560	7.0	runtest
test	Q0	28183	561	7.0	runtest
test	Q0	27704	562	7.0	runtest
test	Q0	26069	563	7.0	runtest
test	Q0	20819	564	7.0	runtest
test	Q0	890093	565	6.0	runtest
test	Q0	889254	566	6.0	runtest
test	Q0	889196	567	6.0	runtest
test	Q0	889189	568	6.0	runtest
test	Q0	887319	569	6.0	runtest
test	Q0	881626	570	6.0	runtest
test	Q0	873578	571	6.0	runtest
test	Q0	872960	572	6.0	runtest
test	Q0	871611	573	6.0	runtest
test	Q0	870047	574	6.0	runtest
test	Q0	866603	575	6.0	runtest
test	Q0	849322	576	6.0	runtest
test	Q0	846776	577	6.0	runtest
test	Q0	838978	578	6.0	runtest
test	Q0	835418	579	6.0	runtest
test	Q0	828492	580	6.0	runtest
test	Q0	821638	581	6.0	runtest
test	Q0	818203	582	6.0	runtest
test	Q0	815298	583	6.0	runtest
test	Q0	807228	584	6.0	runtest
test	Q0	800747	585	6.0	runtest
test	Q0	762205	586	6.0	runtest
test	Q0	759078	587	6.0	runtest
test	Q0	729599	588	6.0	runtest
test	Q0	722008	589	6.0	runtest
test	Q0	720039	590	6.0	runtest
test	Q0	716161	591	6.0	runtest
test	Q0	708171	592	6.0	runtest
test	Q0	707849	593	6.0	runtest
test	Q0	702193	594	6.0	runtest
test	Q0	700561	595	6.0	runtest
test	Q0	692487	596	6.0	runtest
test	Q0	678804	597	6.0	runtest
test	Q0	678463	598	6.0	runtest
test	Q0	661651	599	6.0	runtest
test	Q0	660952	600	6.0	runtest
test	Q0	654718	601	6.0	runtest
test	Q0	645198	602	6.0	runtest
test	Q0	644881	603	6.0	runtest
test	Q0	641912	604	6.0	runtest
test	Q0	635334	605	6.0	runtest
test	Q0	634046	606	6.0	runtest
test	Q0	631316	607	6.0	runtest
test	Q0	630197	608	6.0	runtest
test	Q0	621583	609	6.0	runtest
test	Q0	618308	610	6.0	runtest
test	Q0	612115	611	6.0	runtest
test	Q0	611982	612	6.0	runtest
test	Q0	607618	613	6.0	runtest
